"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2017","27.00","27.00","27.00","27.00","","0.37%"
"06/01/2017","26.90","26.90","26.90","26.90","","17.06%"
"05/31/2017","22.98","22.98","22.98","22.98","","-1.16%"
"05/30/2017","23.25","23.25","23.25","23.25","","-3.93%"
"05/26/2017","24.20","24.20","24.20","24.20","","-1.02%"
"05/25/2017","24.45","24.45","24.45","24.45","","-0.81%"
"05/24/2017","24.65","24.65","24.65","24.65","","-0.60%"
"05/23/2017","24.80","24.80","24.80","24.80","","-0.80%"
"05/22/2017","25.00","25.00","25.00","25.00","","0.81%"
"05/19/2017","24.80","24.80","24.80","24.80","","0.81%"
"05/18/2017","24.60","24.60","24.60","24.60","","-0.40%"
"05/17/2017","24.70","24.70","24.70","24.70","","0.41%"
"05/16/2017","24.60","24.60","24.60","24.60","","-1.99%"
"05/15/2017","25.10","25.10","25.10","25.10","","-1.18%"
"05/12/2017","25.40","25.40","25.40","25.40","","0.40%"
"05/11/2017","25.30","25.30","25.30","25.30","","2.22%"
"05/10/2017","24.75","24.75","24.75","24.75","","1.02%"
"05/09/2017","24.50","24.50","24.50","24.50","","0.82%"
"05/08/2017","24.30","24.30","24.30","24.30","","-1.22%"
"05/05/2017","24.60","24.60","24.60","24.60","","1.65%"
"05/04/2017","24.20","24.20","24.20","24.20","","-0.62%"
"05/03/2017","24.35","24.35","24.35","24.35","","0.41%"
"05/02/2017","24.25","24.25","24.25","24.25","","-0.41%"
"05/01/2017","24.35","24.35","24.35","24.35","","0.91%"
"04/28/2017","24.13","24.13","24.13","24.13","","-0.29%"
"04/27/2017","24.20","24.20","24.20","24.20","","-1.02%"
"04/26/2017","24.45","24.45","24.45","24.45","","0.82%"
"04/25/2017","24.25","24.25","24.25","24.25","","-1.42%"
"04/24/2017","24.60","24.60","24.60","24.60","","-0.81%"
"04/21/2017","24.80","24.80","24.80","24.80","","0.40%"
"04/20/2017","24.70","24.70","24.70","24.70","","-0.20%"
"04/19/2017","24.75","24.75","24.75","24.75","","-0.20%"
"04/18/2017","24.80","24.80","24.80","24.80","","0.00%"
"04/17/2017","24.80","24.80","24.80","24.80","","-0.80%"
"04/13/2017","25.00","25.00","25.00","25.00","","0.40%"
"04/12/2017","24.90","24.90","24.90","24.90","","0.40%"
"04/11/2017","24.80","24.80","24.80","24.80","","-1.20%"
"04/10/2017","25.10","25.10","25.10","25.10","","-0.59%"
"04/07/2017","25.25","25.25","25.25","25.25","","0.20%"
"04/06/2017","25.20","25.20","25.20","25.20","","1.00%"
"04/05/2017","24.95","24.95","24.95","24.95","","0.00%"
"04/04/2017","24.95","24.95","24.95","24.95","","1.84%"
"04/03/2017","24.50","24.50","24.50","24.50","","-9.39%"
"03/31/2017","27.04","27.04","27.04","27.04","","1.27%"
"03/30/2017","26.70","26.70","26.70","26.70","","0.56%"
"03/29/2017","26.55","26.55","26.55","26.55","","0.57%"
"03/28/2017","26.40","26.40","26.40","26.40","","0.19%"
"03/27/2017","26.35","26.35","26.35","26.35","","1.15%"
"03/24/2017","26.05","26.05","26.05","26.05","","0.00%"
"03/23/2017","26.05","26.05","26.05","26.05","","-1.33%"
"03/22/2017","26.40","26.40","26.40","26.40","","-1.68%"
"03/21/2017","26.85","26.85","26.85","26.85","","1.32%"
"03/20/2017","26.50","26.50","26.50","26.50","","1.34%"
"03/17/2017","26.15","26.15","26.15","26.15","","0.58%"
"03/16/2017","26.00","26.00","26.00","26.00","","-0.76%"
"03/15/2017","26.20","26.20","26.20","26.20","","0.77%"
"03/14/2017","26.00","26.00","26.00","26.00","","-2.44%"
"03/13/2017","26.65","26.65","26.65","26.65","","1.33%"
"03/10/2017","26.30","26.30","26.30","26.30","","1.74%"
"03/09/2017","25.85","25.85","25.85","25.85","","0.58%"
"03/08/2017","25.70","25.70","25.70","25.70","","1.78%"
"03/07/2017","25.25","25.25","25.25","25.25","","-0.79%"
"03/06/2017","25.45","25.45","25.45","25.45","","0.59%"
"03/03/2017","25.30","25.30","25.30","25.30","","0.20%"
"03/02/2017","25.25","25.25","25.25","25.25","","1.20%"
"03/01/2017","24.95","24.95","24.95","24.95","","0.89%"
"02/28/2017","24.73","24.73","24.73","24.73","","-1.08%"
"02/27/2017","25.00","25.00","25.00","25.00","","-2.15%"
"02/24/2017","25.55","25.55","25.55","25.55","","0.20%"
"02/23/2017","25.50","25.50","25.50","25.50","","-0.78%"
"02/22/2017","25.70","25.70","25.70","25.70","","-0.19%"
"02/21/2017","25.75","25.75","25.75","25.75","","-3.38%"
"02/17/2017","26.65","26.65","26.65","26.65","","-1.30%"
"02/16/2017","27.00","27.00","27.00","27.00","","-1.64%"
"02/15/2017","27.45","27.45","27.45","27.45","7.50K","0.55%"
"02/14/2017","27.30","27.30","27.30","27.30","","-0.36%"
"02/13/2017","27.40","27.40","27.40","27.40","","-0.54%"
"02/10/2017","27.55","27.55","27.55","27.55","","-3.16%"
"02/09/2017","28.45","28.45","28.45","28.45","","-1.22%"
"02/08/2017","28.80","28.80","28.80","28.80","","-0.69%"
"02/07/2017","29.00","29.00","29.00","29.00","","1.05%"
"02/06/2017","28.70","28.70","28.70","28.70","","-0.86%"
"02/03/2017","28.95","28.95","28.95","28.95","","-2.85%"
"02/02/2017","29.80","29.80","29.80","29.80","","-1.81%"
"02/01/2017","30.35","30.35","30.35","30.35","","2.99%"
"01/31/2017","29.47","29.47","29.47","29.47","","-5.39%"
